Species_ID;Species_Name;Region;Pool;Primers_in_pool;nPrimer
27;Cebus apella;peak2;peak2_new_2;(0.1|F)_peak2_new, (0.2|R)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.6|F)_peak2_new, (0.8|F)_peak2_new;6
27;Cebus apella;peak3;peak_3_old_2;(0.1|F)_peak3, (0.2|R)_peak3, (0.3|F)_peak3, (0.4|R)_peak3, (0.9|F)_peak3, (0.11|R)_peak3;6
27;Cebus apella;peak5;peak_5_old_2;(0.4|F)_peak5, (0.7|F)_peak5, (0.8|R)_peak5, (0.9|F)_peak5, (0.10|R)_peak5, (0.13|F)_peak5, (0.14|R)_peak5;7
27;Cebus apella;peak6;peak_6_old_2;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.11|F)_peak6, (0.12|R)_peak6, (0.13|F)_peak6, (0.16|R)_peak6;11
27;Cebus apella;peak7;peak_7_new_2;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.5|F)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new, (0.14|F)_peak7_new;10
28;Saimiri sciureus;exon2;exon_2_old_2;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F);5
28;Saimiri sciureus;peak1;peak1_new_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
28;Saimiri sciureus;peak3;peak_3_old_2;(0.1|F)_peak3, (0.2|R)_peak3, (0.3|F)_peak3, (0.4|R)_peak3, (0.9|F)_peak3, (0.11|R)_peak3;6
28;Saimiri sciureus;peak5;peak_5_old_5;(0.1|F)_peak5, (0.2|R)_peak5, (0.4|F)_peak5, (0.5|F)_peak5, (0.6|R)_peak5, (0.7|F)_peak5, (0.8|R)_peak5, (0.11|F)_peak5, (0.12|F)_peak5, (0.13|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;12
28;Saimiri sciureus;peak6;peak_6_old_2;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.11|F)_peak6, (0.12|R)_peak6, (0.13|F)_peak6, (0.16|R)_peak6;11
28;Saimiri sciureus;peak7;peak_7_new_2;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.5|F)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new, (0.14|F)_peak7_new;10
29;Aotus azarae;exon2;exon_2_old_2;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F);5
29;Aotus azarae;peak2;peak_2_old_1;(0.1|F)_peak2_new, (0.2|R)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.5|F)_peak2_new, (0.6|F)_peak2_new, (0.7|R)_peak2_new, (0.8|F)_peak2_new;8
29;Aotus azarae;peak3;peak_3_old_2;(0.1|F)_peak3, (0.2|R)_peak3, (0.3|F)_peak3, (0.4|R)_peak3, (0.9|F)_peak3, (0.11|R)_peak3;6
29;Aotus azarae;peak5;peak_5_old_5;(0.1|F)_peak5, (0.2|R)_peak5, (0.4|F)_peak5, (0.5|F)_peak5, (0.6|R)_peak5, (0.7|F)_peak5, (0.8|R)_peak5, (0.11|F)_peak5, (0.12|F)_peak5, (0.13|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;12
29;Aotus azarae;peak6;peak_6_old_2;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.11|F)_peak6, (0.12|R)_peak6, (0.13|F)_peak6, (0.16|R)_peak6;11
29;Aotus azarae;peak7;peak_7_new_2;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.5|F)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new, (0.14|F)_peak7_new;10
30;Saguinus oedipus;exon2;exon_2_old_2;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F);5
30;Saguinus oedipus;peak1;peak1_new_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
30;Saguinus oedipus;peak2;peak_2_old_1;(0.1|F)_peak2_new, (0.2|R)_peak2_new, (0.3|F)_peak2_new, (0.4|R)_peak2_new, (0.5|F)_peak2_new, (0.6|F)_peak2_new, (0.7|R)_peak2_new, (0.8|F)_peak2_new;8
30;Saguinus oedipus;peak3;peak_3_old_2;(0.1|F)_peak3, (0.2|R)_peak3, (0.3|F)_peak3, (0.4|R)_peak3, (0.9|F)_peak3, (0.11|R)_peak3;6
30;Saguinus oedipus;peak5;peak_5_old_5;(0.1|F)_peak5, (0.2|R)_peak5, (0.4|F)_peak5, (0.5|F)_peak5, (0.6|R)_peak5, (0.7|F)_peak5, (0.8|R)_peak5, (0.11|F)_peak5, (0.12|F)_peak5, (0.13|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;12
30;Saguinus oedipus;peak6;peak_6_old_2;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.11|F)_peak6, (0.12|R)_peak6, (0.13|F)_peak6, (0.16|R)_peak6;11
30;Saguinus oedipus;peak7;peak_7_new_2;(0.1|F)_peak7_new, (0.2|R)_peak7_new, (0.3|F)_peak7_new, (0.4|R)_peak7_new, (0.5|F)_peak7_new, (0.6|R)_peak7_new, (0.7|F)_peak7_new, (0.11|F)_peak7_new, (0.13|F)_peak7_new, (0.14|F)_peak7_new;10
33;Pithecia pithecia;exon2;exon_2_old_2;TRNP1_exon2_(0.1|F), TRNP1_exon2_(0.2|R), TRNP1_exon2_(0.3|R), TRNP1_exon2_(0.4|F), TRNP1_exon2_(0.7|F);5
33;Pithecia pithecia;peak1;peak1_new_2;(0.1|F)_peak1_new, (0.2|F)_peak1_new, (0.3|R)_peak1_new, (0.4|F)_peak1_new, (0.5|R)_peak1_new, (0.6|R)_peak1_new, (0.7|F)_peak1_new;7
33;Pithecia pithecia;peak5;peak_5_old_5;(0.1|F)_peak5, (0.2|R)_peak5, (0.4|F)_peak5, (0.5|F)_peak5, (0.6|R)_peak5, (0.7|F)_peak5, (0.8|R)_peak5, (0.11|F)_peak5, (0.12|F)_peak5, (0.13|F)_peak5, (0.14|R)_peak5, (0.15|R)_peak5;12
33;Pithecia pithecia;peak6;peak_6_old_2;(0.1|F)_peak6, (0.2|R)_peak6, (0.6|F)_peak6, (0.7|R)_peak6, (0.8|R)_peak6, (0.9|F)_peak6, (0.10|R)_peak6, (0.11|F)_peak6, (0.12|R)_peak6, (0.13|F)_peak6, (0.16|R)_peak6;11
